2023-08-15 20:27:28.756 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization-376 : Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-15 20:27:29.241 [restartedMain] INFO  io.undertow.servlet log-382 : Initializing Spring embedded WebApplicationContext
2023-08-15 20:27:29.241 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext prepareWebApplicationContext-292 : Root WebApplicationContext: initialization completed in 3279 ms
2023-08-15 20:27:30.589 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper logPersistenceUnitInformation-31 : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-15 20:27:30.655 [restartedMain] INFO  org.hibernate.Version logVersion-44 : HHH000412: Hibernate ORM core version 5.6.9.Final
2023-08-15 20:27:30.959 [restartedMain] INFO  org.hibernate.annotations.common.Version <clinit>-56 : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-15 20:27:31.097 [restartedMain] INFO  org.hibernate.dialect.Dialect <init>-175 : HHH000400: Using dialect: org.hibernate.dialect.Kingbase8Dialect
2023-08-15 20:27:32.290 [restartedMain] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator initiateService-52 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-15 20:27:32.302 [restartedMain] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean buildNativeEntityManagerFactory-437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-15 20:27:33.203 [restartedMain] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean destroy-651 : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-15 20:27:33.216 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener logMessage-136 : 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
